List of packages in environment: "/home/alex/Documents/Programmes/micromamba/envs/dev"

  Name                               Version       Build                           Channel    
────────────────────────────────────────────────────────────────────────────────────────────────
  _libgcc_mutex                      0.1           conda_forge                     conda-forge
  _openmp_mutex                      4.5           7_kmp_llvm                      conda-forge
  _x86_64-microarch-level            3             3_x86_64_v3                     conda-forge
  absl-py                            2.3.1         pyhd8ed1ab_0                    conda-forge
  aiohappyeyeballs                   2.6.1         pypi_0                          pypi       
  aiohttp                            3.13.2        pypi_0                          pypi       
  aiosignal                          1.4.0         pypi_0                          pypi       
  alsa-lib                           1.2.14        hb9d3cd8_0                      conda-forge
  anyio                              4.11.0        pyhcf101f3_0                    conda-forge
  argon2-cffi                        25.1.0        pyhd8ed1ab_0                    conda-forge
  argon2-cffi-bindings               25.1.0        py311h49ec1c0_2                 conda-forge
  arrow                              1.4.0         pyhcf101f3_0                    conda-forge
  asttokens                          3.0.1         pyhd8ed1ab_0                    conda-forge
  astunparse                         1.6.3         pyhd8ed1ab_3                    conda-forge
  async-lru                          2.0.5         pyh29332c3_0                    conda-forge
  attr                               2.5.2         h39aace5_0                      conda-forge
  attrs                              25.4.0        pyh71513ae_0                    conda-forge
  babel                              2.17.0        pyhd8ed1ab_0                    conda-forge
  beautifulsoup4                     4.14.2        pyha770c72_0                    conda-forge
  benchmark                          1.9.4         h5888daf_0                      conda-forge
  binutils_impl_linux-64             2.45          default_hfdba357_104            conda-forge
  black                              25.1.0        pyh866005b_0                    conda-forge
  bleach                             6.3.0         pyhcf101f3_0                    conda-forge
  bleach-with-css                    6.3.0         h5f6438b_0                      conda-forge
  boost-cpp                          1.85.0        h3c6214e_4                      conda-forge
  brotli-python                      1.2.0         py311h66f275b_1                 conda-forge
  bzip2                              1.0.8         hda65f42_8                      conda-forge
  c-ares                             1.34.5        hb9d3cd8_0                      conda-forge
  ca-certificates                    2025.11.12    hbd8a1cb_0                      conda-forge
  cached-property                    1.5.2         hd8ed1ab_1                      conda-forge
  cached_property                    1.5.2         pyha770c72_1                    conda-forge
  cairo                              1.18.4        h3394656_0                      conda-forge
  certifi                            2025.11.12    pyhd8ed1ab_0                    conda-forge
  cffi                               2.0.0         py311h03d9500_1                 conda-forge
  charset-normalizer                 3.4.4         pyhd8ed1ab_0                    conda-forge
  clang                              21.1.0        default_h36abe19_1              conda-forge
  clang-21                           21.1.0        default_h99862b1_1              conda-forge
  clang-format                       21.1.0        default_hddf928d_0              conda-forge
  clang-format-21                    21.1.0        default_hddf928d_0              conda-forge
  clang-tools                        21.1.0        default_hddf928d_0              conda-forge
  click                              8.3.1         pyh707e725_0                    conda-forge
  cmake                              3.30.0        hf8c4bd3_0                      conda-forge
  comm                               0.2.3         pyhe01879c_0                    conda-forge
  compiler-rt21                      21.1.6        hb700be7_0                      conda-forge
  compiler-rt21_linux-64             21.1.6        hffcefe0_0                      conda-forge
  conda-gcc-specs                    14.3.0        he8ccf15_12                     conda-forge
